token,aantal,voorbeeld_ids
waa,100,p66-07; p73-02; p73-03
ddeɛwa,8,p154-03; p155-09; p156-03
yexs,7,p23-09; p148-08; p166-06
yedwer,7,p28-04; p65-05; p65-06
tecc,7,p30-02; p141-09; p149-07
asen,7,p78-08; p102-05; p131-03
yeggua,7,p84-02; p103-08; p103-08
yewc,7,p84-06; p84-07; p84-08
yijjen,7,p92-12; p113-04; p131-07
iten,7,p93-05; p138-10; p138-10
tameqqrant,7,p96-05; p96-08; p96-10
kis,7,p103-05; p141-04; p148-02
xas,7,p104-05; p139-05; p141-13
yaa,7,p106-02; p125-02; p134-04
ssineɣ,7,p107-03; p115-01; p127-06
waaǧi,7,p113-03; p113-04; p113-05
twem,7,p116-07; p116-07; p120-10
Fatima,7,p119-04; p119-05; p119-06
nneɣ,7,p130-07; p159-01; p164-06
tḥajit,7,p134-06; p135-04; p135-04
ggeɣ,7,p137-03; p137-06; p137-12
wur,7,p148-08; p160-03; p165-02
arebbi,7,p155-01; p160-13; p161-14
ynu,7,p157-08; p157-10; p163-07
tus,6,p35-05; p103-06; p163-02
iɛemmaa,6,p52-04; p52-05; p83-07
yewta,6,p53-17; p98-07; p128-03
zzayes,6,p73-06; p74-01; p74-02
yawi,6,p74-01; p74-02; p74-05
wuccen,6,p94-10; p104-06; p117-06
tegged,6,p101-02; p143-06; p143-12
teggid,6,p105-04; p155-13; p156-13
yeccin,6,p108-09; p122-07; p135-04
taḥenjiat,6,p112-02; p112-03; p112-04
ammu,6,p118-05; p118-07; p122-04
ufus,6,p135-06; p144-01; p144-07
iniɣ,6,p136-01; p136-12; p149-06
deg,6,p140-09; p140-10; p141-01
wucca,6,p142-09; p145-09; p145-13
yeggwua,6,p145-07; p145-11; p145-11
subḥanllah,6,p145-13; p146-02; p146-06
lɛalamin,6,p155-01; p160-13; p161-14
yebda,5,p27-03; p27-03; p104-04
dac,5,p66-07; p105-04; p137-12
dam,5,p74-05; p130-01; p140-05
nnhaa,5,p82-01; p83-02; p83-10
ttaaf,5,p87-09; p88-01; p94-10
itegg,5,p93-09; p103-05; p158-08
nsen,5,p96-06; p96-07; p148-12
ɣaak,5,p98-01; p143-08; p145-01
yennan,5,p98-06; p125-05; p137-12
bac,5,p102-06; p156-10; p157-06
teǧa,5,p110-05; p145-05; p146-02
iruḥ,5,p111-06; p137-11; p138-03
umedduker,5,p112-02; p125-02; p128-01
cemm,5,p120-09; p122-01; p170-09
maca,5,p129-04; p135-13; p143-13
teqqar,5,p131-03; p135-03; p135-08
usin,5,p132-04; p142-05; p142-05
bab,5,p137-02; p137-05; p137-08
yeqqar,5,p143-11; p150-08; p150-08
muzika,5,p153-11; p154-10; p157-12
mmarra,5,p154-05; p154-05; p154-12
lḥhikma,5,p155-10; p156-08; p156-09
inni,5,p158-06; p159-03; p159-04
yetɣennjen,5,p158-06; p159-03; p159-04
hamdu,5,p168-07; p168-09; p169-02
lah,5,p168-07; p168-09; p169-02
caɛ,5,p171-02; p171-03; p171-09
ellah,5,p171-02; p171-03; p171-09
yessawar,4,p17-01; p35-02; p82-07
yenɣa,4,p28-06; p85-01; p131-02
zriɣ,4,p28-19; p29-01; p73-03
nnan,4,p30-14; p161-05; p161-08
ujeǧid,4,p31-04; p106-09; p136-09
qqimeɣ,4,p48-02; p157-01; p157-07
teqqim,4,p48-05; p73-02; p86-03
wanita,4,p63-03; p87-01; p109-08
diha,4,p64-01; p64-01; p77-01
pabu,4,p65-01; p65-02; p65-03
awyeɣ,4,p68-01; p74-06; p120-09
yusin,4,p74-08; p75-02; p100-06
yijj,4,p82-06; p137-03; p137-12
zeggw,4,p82-09; p129-04; p164-06
tmazixt,4,p83-09; p169-12; p170-01
ibawen,4,p92-07; p102-05; p113-05
mayen,4,p93-09; p99-03; p103-05
yegg,4,p93-12; p124-07; p141-13
yiwi,4,p94-07; p119-01; p129-05
dawem,4,p98-06; p114-06; p125-05
yiri,4,p102-01; p110-02; p154-12
yenna,4,p104-06; p106-09; p157-10
traḥed,4,p106-04; p106-05; p147-09
yiran,4,p112-05; p112-06; p112-07
xaneɣ,4,p118-12; p139-09; p161-01
zemmaaɣ,4,p120-08; p158-10; p160-03
ssi,4,p127-07; p136-11; p142-13
yemmut,4,p129-05; p161-07; p162-09
arami,4,p132-02; p155-02; p159-08
nraḥ,4,p136-08; p172-01; p172-02
yiyyar,4,p137-02; p137-05; p137-08
teggi,4,p138-04; p138-04; p138-05
tmesɛect,4,p139-10; p140-13; p141-01
safi,4,p139-12; p140-01; p140-13
aya,4,p142-02; p166-02; p166-08
Aqa,4,p145-02; p148-09; p149-01
iɛawd,4,p147-04; p147-05; p147-07
llah,4,p148-07; p159-09; p173-08
zeg,4,p149-07; p150-02; p152-12
lɛawd,4,p150-04; p150-13; p151-10
tent,4,p152-14; p158-08; p162-13
asent,4,p152-14; p153-01; p153-01
yinni,4,p153-11; p162-09; p162-11
nnadua,4,p154-05; p162-09; p166-04
nufa,4,p155-02; p160-08; p161-06
nettaa,4,p160-13; p161-14; p164-02
bismillah,4,p164-05; p164-05; p164-06
eslama,4,p169-10; p169-11; p171-03
qqaan,4,p170-04; p170-05; p170-06
sna,4,p170-12; p170-13; p170-14
yeddaa,3,p24-01; p127-02; p129-05
yendu,3,p24-02; p28-02; p28-17
thenjiat,3,p30-04; p30-04; p95-06
degg,3,p30-09; p81-03; p131-07
ufunas,3,p30-11; p141-12; p142-01
pulisiyya,3,p31-08; p161-03; p161-13
uɣi,3,p36-04; p36-05; p121-02
neqqim,3,p48-06; p157-04; p159-06
yiyyaa,3,p54-18; p54-19; p136-09
yewsin,3,p65-02; p124-05; p124-05
Nnadua,3,p65-05; p65-06; p132-08
yessiwd,3,p66-02; p66-03; p66-04
itent,3,p66-04; p154-05; p163-12
gguan,3,p73-05; p104-01; p104-01
ssenni,3,p74-03; p74-04; p145-02
nekk,3,p74-03; p74-04; p154-05
yusa,3,p75-03; p75-05; p132-06
meɛlik,3,p75-05; p130-05; p159-11
tusid,3,p76-02; p100-02; p100-03
awem,3,p78-04; p78-05; p158-12
yewda,3,p79-02; p82-05; p107-06
deggw,3,p81-02; p165-04; p174-04
tadfed,3,p81-06; p99-06; p128-05
ǧiret,3,p83-10; p135-05; p163-14
sriɣ,3,p85-06; p162-06; p174-03
sadu,3,p85-07; p85-08; p165-01
yayetma,3,p87-03; p131-09; p134-03
itsen,3,p89-08; p89-09; p89-10
ssneɣ,3,p93-03; p136-12; p159-11
dasen,3,p94-05; p114-03; p158-05
mma,3,p94-08; p94-09; p94-10
tmuat,3,p96-10; p101-02; p140-01
uḥenjia,3,p98-07; p142-10; p146-04
yemɣaa,3,p103-02; p142-06; p142-07
itett,3,p104-04; p131-06; p131-08
yeccat,3,p104-05; p153-07; p153-07
yinsi,3,p104-06; p118-12; p122-04
mri,3,p105-05; p130-04; p149-06
men,3,p109-02; p170-12; p170-13
yeǧan,3,p110-04; p110-06; p122-08
inin,3,p113-05; p145-12; p146-03
teggwed,3,p116-01; p116-02; p147-11
ɣaawem,3,p116-07; p129-06; p159-09
huma,3,p117-01; p133-02; p133-03
tecca,3,p119-03; p141-03; p141-05
ggint,3,p120-07; p140-09; p141-01
tajaa,3,p124-03; p124-05; p124-05
xseɣ,3,p126-02; p172-04; p173-01
yeffeɣ,3,p126-04; p148-05; p148-05
tessned,3,p127-01; p127-02; p161-12
uyuaɣ,3,p129-01; p169-09; p171-02
yin,3,p132-03; p149-04; p149-13
raheɣ,3,p134-02; p145-08; p147-08
tinni,3,p134-06; p135-03; p166-01
ḥima,3,p135-01; p135-01; p135-12
yides,3,p135-01; p135-11; p136-07
Waa,3,p136-05; p138-05; p138-13
jjeɣ,3,p137-09; p139-02; p151-03
nnant,3,p139-07; p140-02; p141-07
ddhen,3,p139-13; p143-13; p144-07
qemmum,3,p140-09; p140-10; p141-01
wussan,3,p142-05; p142-05; p162-10
itiraa,3,p142-06; p142-10; p142-11
yalleh,3,p142-11; p142-11; p142-11
cek,3,p145-04; p145-04; p148-09
imun,3,p145-13; p146-06; p146-12
Yeqqim,3,p146-04; p147-05; p153-06
aabbi,3,p147-03; p167-06; p174-11
temsaa,3,p147-06; p150-11; p174-09
yeqqn,3,p148-11; p148-12; p153-03
Sutaa,3,p149-12; p151-10; p151-10
iɛezb,3,p151-05; p157-01; p157-03
unewwaa,3,p153-02; p153-03; p153-08
yezznuzan,3,p153-11; p158-05; p162-11
akisen,3,p154-03; p154-06; p160-09
ssawareɣ,3,p157-01; p160-09; p170-01
akic,3,p157-01; p157-07; p163-08
wma,3,p157-08; p157-10; p163-07
yarebbi,3,p157-11; p157-11; p157-12
zegg,3,p158-06; p162-06; p162-09
ɣaasen,3,p158-11; p160-04; p160-10
ɛazib,3,p160-08; p160-08; p160-08
sḥess,3,p161-02; p163-07; p163-08
reɣnuj,3,p161-08; p162-11; p163-11
wellah,3,p163-08; p163-14; p166-09
tejjid,3,p165-04; p166-07; p166-07
sweɣ,3,p168-01; p173-01; p173-05
ifess,2,p23-02; p23-03
yessefhem,2,p23-06; p23-08
yessfehm,2,p23-07; p23-08
yegwa,2,p26-01; p144-04
yekkaa,2,p27-01; p142-10
yekka,2,p27-02; p27-02
yudef,2,p28-12; p49-04
yefhem,2,p28-13; p117-06
zrixt,2,p28-19; p29-01
kisen,2,p30-02; p150-06
iduraa,2,p30-10; p84-05
nebhaa,2,p31-13; p31-14
Nacima,2,p46-01; p46-02
teqqimed,2,p48-03; p100-01
qqimen,2,p48-09; p161-04
mneɣ,2,p53-10; p55-02
nraja,2,p53-18; p53-19
icaaz,2,p54-17; p54-18
udaabbi,2,p63-03; p102-04
yen,2,p64-01; p107-04
yesɣa,2,p65-07; p125-06
usiɣ,2,p68-03; p130-04
yaaggweh,2,p72-01; p167-08
teggenfa,2,p72-02; p72-02
yesgenfa,2,p72-03; p72-04
negg,2,p72-05; p75-08
yemmet,2,p72-06; p162-10
tiwyeɣ,2,p74-07; p115-04
yasen,2,p75-09; p124-02
xemmi,2,p76-01; p131-03
tneɣ,2,p76-01; p114-04
aqqa,2,p78-01; p78-06
ttett,2,p78-03; p150-09
tfaq,2,p78-06; p141-02
temmut,2,p78-08; p130-08
draa,2,p81-02; p81-02
xafi,2,p82-07; p166-01
xeddmen,2,p83-01; p159-01
iqess,2,p83-06; p103-02
udfen,2,p84-01; p160-01
akides,2,p84-02; p148-13
yenni,2,p85-01; p94-05
Iɣaas,2,p85-03; p141-12
tefrewt,2,p85-07; p85-07
ssinen,2,p86-04; p94-02
amecnaw,2,p87-02; p135-04
ist,2,p89-13; p90-01
daɣ,2,p93-04; p108-08
ineɣ,2,p93-04; p106-01
deḥcent,2,p93-07; p131-04
daysen,2,p94-04; p174-10
tegga,2,p94-09; p161-06
Yusef,2,p96-01; p110-06
ccariɛ,2,p96-02; p156-07
yessi,2,p96-03; p140-06
wecma,2,p96-05; p167-03
enneyni,2,p97-08; p97-09
iwden,2,p98-03; p123-03
tennid,2,p99-01; p122-06
tiwyed,2,p99-07; p166-09
manay,2,p99-07; p99-11
ssengwen,2,p102-06; p133-02
yarr,2,p103-01; p146-07
xmi,2,p103-04; p131-04
teḥramin,2,p103-06; p166-04
icten,2,p103-06; p140-03
yetseqsa,2,p103-08; p103-08
itazzer,2,p104-05; p174-11
tudes,2,p105-02; p107-01
teɣrid,2,p105-05; p170-02
tesbeḥ,2,p105-05; p157-12
ɣaam,2,p107-04; p170-13
ujenna,2,p107-06; p165-09
wedbib,2,p109-06; p167-10
ispunya,2,p109-07; p111-05
ɣar,2,p109-09; p112-01
tanja,2,p110-03; p170-10
rḥid,2,p110-07; p110-08
tamezzyant,2,p111-01; p111-02
ssawar,2,p113-01; p113-01
tezrid,2,p114-04; p174-02
wuatu,2,p115-03; p165-01
ccin,2,p115-07; p136-10
nwem,2,p116-06; p162-12
yuḥer,2,p117-05; p117-06
yesbaa,2,p117-05; p139-03
yewca,2,p118-11; p124-06
itenned,2,p119-02; p119-02
yexdem,2,p120-01; p142-08
ifetteḥ,2,p120-06; p132-02
ffiɣent,2,p121-01; p130-02
ffɣeɣ,2,p121-01; p130-02
ixeddmen,2,p124-03; p124-04
zeǧseɣ,2,p124-06; p157-05
yetxemmem,2,p126-01; p126-03
yuf,2,p126-03; p126-04
yessen,2,p126-07; p127-05
yaaden,2,p128-02; p136-09
keccud,2,p128-03; p128-03
tecced,2,p128-04; p172-03
tewwaat,2,p128-05; p160-01
xasent,2,p129-01; p153-06
yettef,2,p129-02; p145-09
newc,2,p130-01; p140-05
akidi,2,p130-05; p157-07
tewced,2,p130-06; p152-11
yettes,2,p131-05; p152-09
ttseɣ,2,p131-09; p134-02
teggeɣ,2,p131-09; p160-09
wattas,2,p134-01; p135-07
xminni,2,p134-02; p135-08
tessexsi,2,p134-04; p134-05
yessaggwaden,2,p134-06; p135-03
tessen,2,p135-07; p135-11
teqqaa,2,p135-09; p135-09
tesqaa,2,p135-12; p136-03
tesriɣ,2,p135-13; p166-03
tettsed,2,p135-14; p136-05
tettised,2,p135-14; p136-05
traɣa,2,p136-04; p136-06
kkint,2,p136-10; p150-13
Mri,2,p137-02; p143-06
ajeǧab,2,p137-03; p137-12
uɣeydu,2,p137-03; p137-12
Tɛawd,2,p137-04; p147-04
tenneɣni,2,p137-04; p138-06
hay,2,p138-03; p138-03
ttak,2,p139-03; p139-03
turu,2,p139-05; p139-06
Tekkaa,2,p139-07; p139-10
tacniwin,2,p139-07; p152-11
taniti,2,p139-08; p139-09
tejj,2,p139-08; p151-04
senni,2,p139-10; p162-01
yaaney,2,p140-03; p140-03
tugi,2,p140-04; p145-03
Teksi,2,p140-07; p140-13
wcint,2,p140-08; p140-11
tirettett,2,p140-08; p141-01
tuyua,2,p140-10; p141-01
tsunnad,2,p140-11; p140-12
tɣuyyit,2,p141-02; p141-06
irem,2,p141-12; p150-08
kucci,2,p142-03; p159-12
tebda,2,p142-04; p150-09
ruḥen,2,p142-05; p142-05
ireɣman,2,p143-07; p146-11
tinid,2,p144-03; p144-12
yengwa,2,p144-04; p144-05
Truḥ,2,p144-05; p144-07
yettf,2,p144-11; p153-03
aqa,2,p145-01; p149-02
kkiɣ,2,p145-02; p165-01
yini,2,p146-01; p146-05
kides,2,p146-05; p147-05
yufa,2,p146-09; p152-02
rqissa,2,p147-04; p150-13
ttaaɣ,2,p147-10; p163-04
ttif,2,p147-10; p148-07
Yaa,2,p148-01; p151-05
teggim,2,p149-04; p149-05
Ttaak,2,p149-07; p152-08
wamziwen,2,p149-07; p150-02
yetɛawad,2,p150-10; p158-09
Iwyex,2,p151-01; p151-04
idudan,2,p151-08; p151-13
ineqs,2,p151-08; p151-13
tettfed,2,p151-10; p151-10
trun,2,p152-04; p165-09
yetru,2,p152-05; p152-05
yekks,2,p152-07; p152-10
yessaawat,2,p153-06; p153-07
ruheɣ,2,p153-11; p160-10
tḥuna,2,p154-01; p155-04
tezznuzid,2,p154-10; p154-11
buya,2,p154-11; p158-02
ccdiḥ,2,p154-11; p162-11
nddura,2,p155-02; p155-02
yessawaren,2,p155-06; p155-09
iɛizzen,2,p157-08; p163-07
kemmreɣ,2,p157-10; p158-12
init,2,p157-11; p157-13
llewwel,2,p158-13; p158-13
manaya,2,p159-01; p160-08
yaayazen,2,p159-05; p160-12
umaa,2,p159-08; p161-03
wuraa,2,p159-08; p159-11
timɣarin,2,p159-12; p160-12
adfeɣ,2,p160-04; p160-04
tezrim,2,p160-05; p160-05
sewwaa,2,p160-07; p160-07
yesreḥ,2,p160-13; p161-14
ssawaren,2,p161-04; p166-03
musejjala,2,p161-08; p162-11
rexbaa,2,p162-03; p162-09
yetɣennzen,2,p163-05; p163-06
tettru,2,p163-09; p163-13
sbedd,2,p163-10; p163-12
mkur,2,p163-14; p163-14
nebda,2,p164-05; p164-07
truɣ,2,p164-09; p164-09
leɛziz,2,p164-10; p165-08
llif,2,p165-02; p167-11
truḥed,2,p165-03; p165-05
brid,2,p165-04; p174-04
yejj,2,p165-08; p168-03
icem,2,p166-06; p166-06
salamu,2,p168-04; p173-11
salam,2,p168-05; p174-01
bas,2,p168-08; p168-09
xir,2,p169-01; p169-02
zeddɣeɣ,2,p170-10; p170-11
ism,2,p172-09; p172-10
illah,2,p172-09; p172-10
ffudeɣ,2,p173-01; p173-02
ɛlikum,2,p173-11; p174-01
tessawarent,1,p17-02
ssiwef,1,p17-03
ssfehmey,1,p23-04
ssfehmeyy,1,p23-05
semset,1,p23-10
nzum,1,p25-02
gwaman,1,p26-02
yeddakkwaf,1,p26-03
yeqfa,1,p26-04
iqeǧa,1,p26-05
yekker,1,p27-01
yezdeɣ,1,p27-05
izeddeɣ,1,p27-06
tessfehmedd,1,p28-01
inettu,1,p28-03
yeddakk^ar,1,p28-05
ineqq,1,p28-07
yemfes,1,p28-08
imedzes,1,p28-09
weddqq,1,p28-10
yewzen,1,p28-11
ifehm,1,p28-14
yufey,1,p28-15
ufyen,1,p28-16
yendew,1,p28-17
nedwen,1,p28-18
yiwyast,1,p28-20
attawi,1,p29-03
tawi,1,p29-03
tyennzen,1,p30-01
tmettut,1,p30-03
izzentmettut,1,p30-03
haha,1,p30-04
teffeɣ,1,p30-06
tejfey,1,p30-06
nejfeɣ,1,p30-07
nejfey,1,p30-07
^yiwy,1,p30-08
yifri,1,p30-09
zzegg,1,p30-10
duraa,1,p30-10
deggwfunas,1,p30-11
zeggwdraa,1,p30-12
wedraa,1,p30-12
igg,1,p30-13
ffɣen,1,p30-13
wigg,1,p30-14
uzeǧid,1,p31-01
ama,1,p31-02
weysum,1,p31-05
midden,1,p31-06
Fadma,1,p31-07
hḥenna,1,p31-10
taspamut,1,p35-02
yuzzer,1,p35-04
aqidun,1,p35-04
yeccur,1,p36-03
ḥennas,1,p46-01
yayt,1,p47-01
sɛid,1,p47-01
teqqimem,1,p48-07
teqqiment,1,p48-08
qqiment,1,p48-10
neqqimet,1,p49-01
neqqiment,1,p49-02
yeqqimen,1,p49-03
yaawer,1,p49-05
isedzem,1,p49-06
snef,1,p49-07
senfeɣ,1,p49-08
yeɛfu,1,p50-01
ɛfun,1,p50-02
yeksi,1,p50-03
ksin,1,p50-04
yeswia,1,p52-01
yeswa,1,p52-02
yesra,1,p52-03
wawar,1,p52-03
weqbuc,1,p52-05
sgenfa,1,p52-07
ffey,1,p53-01
ssufey,1,p53-02
sekkaa,1,p53-04
ndaa,1,p53-11
temmenz,1,p53-15
ttumuhin,1,p53-15
tetmenza,1,p53-16
wenneyni,1,p53-19
nnujfaa,1,p54-10
nneqreb,1,p54-12
ufeǧah,1,p54-17
yetwacaaz,1,p54-19
ssemney,1,p55-03
semserqa,1,p55-06
yesseqsa,1,p63-01
Minmn,1,p63-01
tezr,1,p63-02
yessufɣ,1,p64-02
yemjaa,1,p64-03
yemjar,1,p64-04
yecc,1,p64-05
yessru,1,p64-06
ssufɣex,1,p64-07
yessufɣen,1,p64-08
tessqaaqeh,1,p66-01
icent,1,p66-03
yiwiy,1,p66-07
ixemmer,1,p68-02
simant,1,p68-03
tdu,1,p73-01
iwyeɣ,1,p74-09
yiwden,1,p75-01
tased,1,p75-04
niqd,1,p75-07
yawyen,1,p75-10
tenɣed,1,p75-11
tas,1,p76-01
yezrin,1,p76-03
tuyi,1,p77-04
tɣireɣ,1,p79-01
tɣiren,1,p79-02
azenna,1,p79-02
axxam,1,p81-05
yetɣima,1,p81-05
ngeɛɛed,1,p82-02
tsejjaat,1,p82-02
yekk,1,p82-06
ugezzaa,1,p82-06
yessijj,1,p82-08
thuajet,1,p82-08
zayyu,1,p82-09
tessekk,1,p82-10
wezyen,1,p83-02
tmeddit,1,p83-03
txedmect,1,p83-06
txansett,1,p83-07
yijdi,1,p83-07
yetmenɣa,1,p84-03
tmenɣant,1,p84-04
jarasent,1,p84-04
jar,1,p84-05
mecdeɣɣ,1,p85-02
tfunast,1,p85-03
yenɣ,1,p85-04
sɣiɣ,1,p85-05
aqbea,1,p86-02
tfunasin,1,p86-02
uyuan,1,p86-04
amsan,1,p86-04
nihni,1,p86-06
zzay,1,p86-07
sen,1,p86-07
zzates,1,p87-06
awaan,1,p87-07
awaanas,1,p87-08
qibar,1,p88-02
awru,1,p88-03
aɣirin,1,p88-04
ajemmad,1,p88-05
watay,1,p89-05
txancet,1,p89-06
itneɣ,1,p89-07
tasebnest,1,p90-02
nekrasa,1,p92-09
fekrasa,1,p92-09
nhajet,1,p92-11
fhazet,1,p92-11
tḥenjirin,1,p92-13
yejmeɛ,1,p93-02
iɣezran,1,p93-03
tasent,1,p93-06
tḥaay,1,p93-08
tugid,1,p93-10
cḥar,1,p93-11
yaakent,1,p94-01
awyem,1,p94-09
itaf,1,p94-10
iyezz,1,p95-01
ddqayeq,1,p95-02
fseskqq,1,p95-04
tsara,1,p96-02
temza,1,p96-03
tsent,1,p96-05
tmeqqrant,1,p96-09
tammuqt,1,p97-02
quci,1,p97-12
yeɣran,1,p97-12
taazzud,1,p99-02
ibeddren,1,p99-04
ttirid,1,p99-05
ttettsed,1,p99-08
iwezzen,1,p99-09
tetrud,1,p99-10
tuḥḥred,1,p99-12
xef,1,p100-01
ked,1,p100-02
maɣaa,1,p100-03
mana,1,p100-05
wen,1,p100-06
xzaaɣ,1,p100-07
naf,1,p100-08
nessens,1,p100-08
therced,1,p101-02
tezzred,1,p101-02
tzewda,1,p101-02
yum,1,p102-02
lqiyama,1,p102-02
yeḥkem,1,p102-02
qrrebbi,1,p102-02
d~yas,1,p102-04
tewv,1,p102-05
arren,1,p102-05
Imakla,1,p102-06
naaḥet,1,p102-07
aazun,1,p102-08
tsen,1,p102-08
sseqsan,1,p102-08
itawi,1,p103-01
yessidef,1,p103-01
yetkeyyaf,1,p103-03
ssbasa,1,p103-03
yetmetta,1,p103-04
inettar,1,p103-04
ireḥḥeg,1,p103-05
yetqeǧab,1,p103-06
ntic,1,p103-07
tɛiced,1,p103-07
ggmn,1,p104-01
iteddez,1,p104-02
yetzu,1,p104-02
ttegged,1,p104-03
usaadun,1,p104-04
uɣarraf,1,p105-03
wseɣ,1,p105-04
tufid,1,p105-05
taaḥed,1,p106-02
iraḥ,1,p106-03
tafed,1,p106-05
yetseddaɛ,1,p106-07
ttwiri,1,p107-02
netɛis,1,p107-05
isennanen,1,p107-07
teɛdu,1,p107-07
tsekkwa,1,p108-01
itaaḥ,1,p108-02
tuatut,1,p108-02
yarra,1,p108-02
tinin,1,p108-05
sswejdent,1,p108-05
maɛlik,1,p108-06
yeqqaa,1,p108-08
amezzyan,1,p109-02
tiriɣ,1,p110-03
Tfayetmas,1,p110-05
rkwazi,1,p110-08
Llah,1,p110-09
yeǧa,1,p110-09
imeddukar,1,p112-03
taɣarrabut,1,p112-08
wayrad,1,p112-09
issiwir,1,p113-02
idaan,1,p114-01
wexxam,1,p114-02
isexsaa,1,p114-03
tɣennjeɣ,1,p114-06
yufi,1,p115-02
tgeɛɛed,1,p115-03
tewci,1,p115-05
swin,1,p115-07
jjiwneɣ,1,p115-08
tufi,1,p115-09
izemmɛen,1,p115-09
yezri,1,p116-03
nnin,1,p116-04
itifi,1,p116-06
ɣia,1,p116-06
rxadrr,1,p116-06
aḥḥq,1,p116-09
yusi,1,p117-04
yeɛbaa,1,p118-12
tyazitt,1,p119-01
tayaazist,1,p119-03
tisinaf,1,p120-07
win,1,p121-03
iwyex,1,p121-06
yenɣin,1,p122-01
xam,1,p122-02
iḥekmen,1,p122-02
tettaaɣ,1,p122-03
ijemɛen,1,p122-05
iɛedren,1,p122-09
yewt,1,p123-01
sseyyed,1,p123-01
usaaɣ,1,p123-01
tqedduḥt,1,p123-02
texra,1,p123-03
reɣbar,1,p124-01
yeffɣen,1,p124-01
yeɛqeb,1,p124-01
rmeskin,1,p124-04
yessexsar,1,p124-07
ssaaseɣ,1,p125-01
tawdent,1,p125-07
merseɣ,1,p126-02
yeggenfa,1,p126-06
ariɣ,1,p126-07
tɛeqr,1,p127-03
tufa,1,p127-04
yessiwer,1,p127-05
yewmet,1,p128-03
rmejra,1,p128-05
azeggwaɣ,1,p128-06
accawen,1,p129-03
waabib,1,p129-04
netɣir,1,p129-05
seɛɛa,1,p129-05
tameǧac,1,p130-06
qebreɣ,1,p130-06
Nunja,1,p130-07
nzemmaa,1,p130-08
nitni,1,p131-01
awyen,1,p131-01
arrin,1,p131-01
tbedd,1,p131-02
traggwahen,1,p131-03
treḥḥgent,1,p131-04
ɛefseɣ,1,p131-05
nedweɣ,1,p131-07
xafes,1,p131-07
iqubac,1,p131-07
ɣaaynen,1,p131-07
ruḥey,1,p131-09
zar,1,p131-09
kkseɣ,1,p132-01
recjur,1,p132-01
yeua,1,p132-02
wesrem,1,p132-02
tettseɣ,1,p132-03
ḥama,1,p132-03
yaasa,1,p132-03
wezru,1,p132-03
xerqeɣ,1,p132-04
ixeǧes,1,p132-05
zegga,1,p132-06
ihrec,1,p132-06
zeggwami,1,p132-07
swiy,1,p132-07
pastiyya,1,p132-07
ggenfiɣ,1,p132-07
awaani,1,p132-08
ixreq,1,p132-08
aaḥren,1,p132-08
ifaaḥ,1,p133-01
yezr,1,p133-01
tennuffaa,1,p133-03
yetwiri,1,p133-03
mammec,1,p134-01
ɛeqreɣ,1,p134-01
deggwxxam,1,p134-02
jaa,1,p134-03
fqendif,1,p134-04
tsud,1,p134-05
teftic,1,p134-05
tsumeet,1,p134-05
tessenta,1,p134-06
nesqaa,1,p135-01
Mammec,1,p135-02
kidney,1,p135-02
ttnus,1,p135-02
twafatin,1,p135-02
tiḥuja,1,p135-03
Amecnaw,1,p135-04
wemziw,1,p135-04
yetraḥen,1,p135-05
imedran,1,p135-05
tfetter,1,p135-06
seysu,1,p135-06
umettin,1,p135-06
tḥuza,1,p135-07
