token,voorstel,betekenis_woordenlijst,aantal,voorbeeld_ids,voorbeeld_en,status
drus,ḏrus,weinig / little,3,p89-10; p92-04; p92-05,few of them,ja
aabɛa,aaḇɛa,vier / four,3,p92-01; p151-08; p151-13,his fourth wife,ja
tiwecca,ṯiwecca,morgen / tomorrow,3,p102-01; p139-04; p139-04,tomorrow it will be Saturday,ja
arrebbi,aṛṛebbi,"God, de Heer / God the Lord",3,p116-09; p119-01; p171-10,"by the Truth of God, it is not me",ja
lwalidin,lwaliḏin,ouders / parents,3,p132-04; p162-02; p162-12,"before I was born, my parents came to the Netherlands",ja
Mara,mařa,als / as,3,p137-05; p137-08; p151-02,"- If the master of this field marries me,",ja
Netta,netta,hij / he,3,p137-10; p138-09; p152-05,"He was there, he was guarding, he had hid and listened to them.",ja
sidi,siḏi,"de heer, meester, majesteit / the lord, master, majesty",3,p141-08; p166-04; p174-11,"- O Sir, your wife that has given you a son",ja
tcamma,ṯcamma,Bal / Ball,3,p142-10; p142-11; p142-12,Then the boy started to play ball.,ja
laksida,laksiḏa,Ongeluk / Accident,3,p161-06; p174-02; p174-05,"‘We have found a car that was involved in a crash, it was turned upside down.",ja
aliman,Aliman,"Duitsland, Duitser / Germany, German",3,p165-03; p165-05; p165-08,If you go to Germany may the Lord not forgive you,ja
xaci,xači,tante (moederszijde) / maternal aunt,2,p31-09; p140-03,of my maternal aunt,ja
azzer,azzeř,"rennen, stromen / to run, to flow",2,p52-08; p55-07,to run,ja
ssizzer,ssizzeř,doen rennen / make you run,2,p52-09; p55-08,to make run,ja
adef,aḏef,"binnengaan, binnenkomen / to enter, enter",2,p53-05; p101-01,to go in,ja
wir,wiř,verbods-partikel / prohibition particle,2,p73-04; p113-01,don’t go!,ja
tamza,ṯamza,ogress (vrouwelijk monster) / ogress (female monster),2,p83-01; p107-02,they work at an ogress’ house,ja
aabib,aaḇiḇ,de stiefzoon / stepson,2,p83-05; p129-04,"a woman had a stepson (lit. a woman, with her [was] a stepson)",ja
sebɛa,seḇɛa,zeven / seven,2,p84-01; p136-11,the seven of them entered,ja
yeǧi,yeği,dochter / daughter,2,p86-01; p105-04,the daughter of that woman,ja
zzat,zzaṭ,naast / next to,2,p87-05; p146-03,"in front of, very close to the house",ja
bda,ḇḏa,"beginnen, delen / to start, to share",2,p94-08; p150-10,now start wherever you want,ja
tnayen,ṯnayen,twee / two,2,p95-02; p108-01,"about two minutes, some two minutes",ja
jjdid,jjdiḏ,nieuw / new,2,p97-05; p97-06,the new bed,ja
mermi,meřmi,wanneer / when,2,p99-08; p125-07,when do you usually sleep?,ja
rfaxaa,řfaxaa,houtskool / charcoal,2,p102-06; p133-02,they put charcoal in order (has) to cook (ad + A) food,ja
rxedmet,řxeḏmeṯ,werk / work,2,p105-05; p154-08,"if you had studied (P), you would have found (P) a good job",ja
hulanda,Hulanḏa,Nederland / The Netherlands,2,p107-05; p170-10,"we, Iqa) we live in the Netherlands",ja
ɛawed,ɛaweḏ,"Herhalen, vertellen, navertellen / Repeat, tell, retell",2,p124-01; p171-09,all this dung which has gone out (been spread over the land) should be taken back,ja
purki,puřki,omdat / because,2,p133-01; p158-07,"my brother is happy, because he has seen her",ja
twara,ṯwaṛa,Keer / Time,2,p136-03; p136-06,"Then my grandmother would time and again stop speaking,",ja
tidaatt,ṯiḏaatṯ,"korenaar, korrel / ear of corn, grain",2,p137-06; p138-08,I will make him couscous out of a single ear of grain.,ja
trist,ṯrist,schapenwol / sheep's wool,2,p138-01; p138-02,"He asked her hand, he married her, he brought her a fleece,",ja
rmudd,řmuḏḏ,graanmaat / grain measure,2,p138-09; p138-09,"He married her and brought her a mud, a mud of wheat.",ja
tiri,ṯiři,schaduw / shadow,2,p139-09; p160-05,"we, we did not do what we had promised, and she, she should be better than us?!",ja
Nettat,nettaṯ,"zij / they, she",2,p139-12; p144-11,The poor one had fully fainted when she had given birth to the boy.,ja
tayya,ṯayya,slaaf / slave,2,p149-04; p149-13,"- Why did you do thus to that slave woman over there,",ja
kurci,kuřci,Alles / Everything,2,p149-08; p172-08,"They prepared dinner, they prepared everything,",ja
kidi,kiḏi,Met mij / With me,2,p150-01; p160-06,to come closer to the basket and eat with me?,ja
ladab,laḏab,beleefdheid / politeness,2,p155-05; p157-02,"I greeted him, treated him with courtesy and laughs.",ja
iwdan,iwḏan,"mensen, het volk / people",2,p158-11; p166-03,"There are people here who have a white beard,",ja
nehra,nehřa,geen behoefte / no need,2,p158-12; p167-01,"so you understand yourselves what I mean, I do not need to tell everything.",ja
rraqem,ṛṛaqem,nummer / number,2,p158-13; p158-13,"In adultery they are the champions, in fornication they are the champions.",ja
rmexzen,řmexzen,Regering / Government,2,p161-03; p161-13,He said: ‘Once the police came to me.’ Officials.,ja
muray,muřay,bruidegom / groom,2,p166-08; p166-10,"O our groom, my beloved brother, how lucky you are,",ja
mecḥar,mecḥař,hoeveel / how many,2,p170-12; p170-13,How old are you?,ja
reḥmu,řeḥmu,warmte / heat,2,p171-04; p171-05,It is hot today isn’t it?,ja
tfuct,ṯfucṯ,Zon / Sun,2,p171-06; p171-07,It is sunny today.,ja
reḥsab,řeḥsaḇ,"rekening, telling / bill, count",2,p173-07; p173-08,"Okay, ask him for the bill.",ja
ires,iřes,tong / tongue,1,p23-01,tongue,ja
gewwed,gewweḏ,leiden / to lead,1,p24-03,to lead,ja
bra,ḇřa,zonder / without,1,p35-05,she came without her husband (FS),ja
iad,iaḏ,aantrekken / attract,1,p52-12,to wear,ja
ssiad,ssiaḏ,"wassen, kleden / to wash, to dress someone",1,p52-13,to dress (somebody),ja
raɣa,řaɣa,roepen / shout,1,p53-07,to call,ja
mraɣa,mřaɣa,elkaar roepen / calling each other,1,p53-08,to call each other,ja
mmendaa,mmenḍaa,weggegooid worden / to be thrown away,1,p53-12,to be thrown,ja
mradas,mřaḏas,naderen tot elkaar / approaching each other,1,p54-02,to be near to each other,ja
wwet,wweṯ,slaan of raken / hit or hit,1,p54-03,to hit,ja
mrewta,mřewṯa,elkaar slaan / hitting each other,1,p54-04,to hit each other,ja
dfes,ḏfes,(op)vouwen / to fold,1,p54-05,to fold,ja
nnedfes,nneḍfes,gevouwen worden / be folded,1,p54-06,to be fold,ja
nnuazem,nnuaẓem,geopend worden / be opened,1,p54-08,to be opened,ja
qreb,qṛeb,draaien / turn,1,p54-11,to turn (sth.) around,ja
zzu,ẓẓu,planten / plants,1,p54-13,to plant,ja
twazzu,ṯwazzu,geplant worden / be planted,1,p54-14,to be planted,ja
twacc,ṯwacc,gegeten worden / be eaten,1,p54-16,to be eaten,ja
mserqa,mseřqa,ontmoeten / meet,1,p55-05,to meet e.o.,ja
twasizzer,ṯwasizzeř,gemaakt worden te rennen / are made to run,1,p55-09,to be made/let run,ja
tadunt,ṯaḏunt,vet / fat,1,p68-02,Hedhehog had hidden the grease himself,ja
tiɣit,ṯiɣiṯ,slim / smart,1,p82-03,he is clever,ja
rehria,řeḥria,"zijde / side, silk",1,p83-08,(made) from silk,ja
tameddit,ṯameddiṯ,avond / evening,1,p86-03,she stayed there until the evening,ja
amesrem,amesřem,moslim / Muslim,1,p87-01,this one is a muslim just like me,ja
taḥebbuct,ṯaḥebbucṯ,"korrel, puistje, vlek / grain, pimple, spot",1,p89-05,a granule of tea,ja
arris,arriš,"veren, pluimage / feathers, plume",1,p89-06,a bag (full) of feathers,ja
ɣabyuta,ɣaḇyuta,de meeuw / the seagull,1,p89-14,"one sea gull, a sea gull",ja
arrzeq,aṛṛzeq,(financieel) fortuin / (financial) fortune,1,p96-04,all his fortune,ja
aɣyur,aɣyuř,ezel / donkey,1,p97-04,a big donkey,ja
mechar,mecḥař,hoeveel / how many,1,p99-09,how much does it weigh?,ja
rḥenni,řḥenni,henna / henna,1,p101-02,"pretend that you are sick, lie down on the earth, and put a plate with 7enna",ja
sseft,ssefṯ,zaterdag / Saturday,1,p102-01,tomorrow it will be Saturday,ja
tixsi,ṯixsi,het ooi / the ewe,1,p103-01,"he brought (l) all the time the (same) sheep, he would let (ad + A) it in and bring (ad + A) it back",ja
asrem,asřem,vis / fish,1,p103-04,"a fish, when it dies (l) in the sea, the sea throws (l) it out (on the land)",ja
aawer,aaweř,"terugtrekken, vluchten / to withdraw, to flee",1,p106-01,flee! my father will come [qa ad + A] and he will kill [qa ad + A] you!,ja
duru,Ḍuru,"0,5 dirham (munt) / 0.5 dirham (coin)",1,p108-01,"in former times, a dirham (lit. two douro) used to be worth a lot",ja
iɣeyd,iɣeyḏ,het geitje / the kid,1,p111-04,there is a goat kid here,ja
rxadaa,řxaḏaa,wens / wish,1,p114-03,he did not spoil (bu) their mood,ja
rfaaq,řfaaq,verschil / difference,1,p114-08,there is no difference in that,ja
rḥeqq,řḥeqq,"gelijk, recht / right, straight",1,p116-08,"by God, he is not right!",ja
ameḥdaa,ameḥḏaa,"leerling, student / pupil, student",1,p118-09,I used to be a student,ja
Lkitab,lkitab,boek / book,1,p119-08,"as for this book, the address of Fatima is in it",ja
taḥraymect,ṯaḥraymecṯ,sluwheid / cunning,1,p121-04,"he is always cunning, he (lit. there is always cunningnecc in him, he)",ja
rqadi,řqaḏi,de rechter / the judge,1,p122-02,it is the judge who is going to judge you,ja
rkas,řkas,glas / glass,1,p125-01,the table on which I put this glass is big,ja
acemrar,acemřař,wit / white,1,p128-06,is it red or is it white?,ja
debbaa,ḏebbaa,"regelen, regeren / to regulate, to govern",1,p129-01,dispose of them or I shall go myself!,ja
Hulanda,Hulanḏa,Nederland / The Netherlands,1,p132-04,"before I was born, my parents came to the Netherlands",ja
taftic,ṯaftic,wiek (van olielamp) / wick (of oil lamp),1,p134-04,my mother would just put out the wick of the oil lamp,ja
tini,ṯini,dadel / date,1,p134-06,"and then she would begin to tell us one of the very scary stories,",ja
deɣya,ḏeɣya,"snel, binnenkort / quickly, soon",1,p135-01,"so that we would keep quiet, or so that we would fall asleep immediately (lit. so that sleep would carry us away immediately).",ja
Henna,ḥenna,Grootmoeder / Grandmother,1,p135-07,My grandmother knew a lot of stories,ja
Kur,kuř,elke / each,1,p136-06,"She would ask me time and again,",ja
rqebb,ṛqebb,kap (van ǧellaba) / hood (from ǧellaba),1,p138-05,She did not even make a hood for him.,ja
tanexxac,ṯanexxač,stro / straw,1,p138-10,"She ground it, she sieved it, some of it became bran,",ja
tiwzatin,ṯiwzaṭin,onrijpe tarwe (alleen mv.) / unripe wheat (plural only),1,p138-11,"some of it became crushed grains, some finely crushed grains,",ja
ddiset,ddiseṭ,zwangerschap / pregnancy,1,p139-03,"He married her, he waited patiently, ttak ttak, she became pregnant, he waited,",ja
tamesɛect,ṯameṣɛecṯ,vrouwelijke bedelaar / female beggar,1,p139-11,"we call it a beggar women, she begged.",ja
Kkaa,kkaa,opstaan / to get up,1,p141-01,"So they put the little finger in her mouth when the beggar woman had gone away,",ja
Ijjen,ijjen,één / one,1,p142-13,"An old woman, I don’t know, he kicked over her kettle;",ja
fran,fṛan,die-en-die (M) / so-and-so (M),1,p143-05,"- It wasn’t us, it was so-and-so.",ja
inadan,inaḏan,goede daden / good deeds,1,p143-06,She said: - Would that you had done good deeds to your mother!,ja
aḥuri,aḥuři,schaap / sheep,1,p143-13,"He said: - But, mother, you should put some ghee in it.",ja
Mani,mani,waar / where,1,p145-05,He said: - Where is she?,ja
Ddcaa,ddcaa,dorp / village,1,p145-06,"She said: - The village is far away, a big distance.",ja
Kurci,kuřci,Alles / Everything,1,p147-07,He told her everything. Then he said:,ja
Amezwaru,amezwaru,eerste / first,1,p147-11,At first she was afraid. He said:,ja
Marḥba,marḥba,welkom / welcome,1,p148-09,He said: - Welcome! You are my guest.,ja
Adef,aḏef,"binnengaan, binnenkomen / to enter, enter",1,p148-10,Then he said: - Come in!,ja
Mayemmi,mayemmi,waarom / why,1,p149-04,"- Why did you do thus to that slave woman over there,",ja
tanyana,ṯanyana,"weer, opnieuw / again",1,p150-04,He said it once more.,ja
Umi,umi,aan wie / to whom,1,p150-05,"He said: - If you ask it, that’s what it is.",ja
tirettet,ṯiřetteṯ,pinkje / little finger,1,p152-02,"He showed him the little finger, and he saw that there were only four (fingers).",ja
Aysum,aysum,vlees / meat,1,p153-09,All their flesh was left behind on the shrubs.,ja
rebni,řebni,gebouw / building,1,p154-08,"Find another job! As a carpenter, a mecanic, in construction.",ja
rexdenni,řexḏenni,"toen, in die tijd / then, at that time",1,p156-06,"If you are in the jihad then you must shoot, you must do the jihad,",ja
aawah,aawaḥ,kom! (alleen imperatief) / come! (imperative only),1,p157-04,"‘Come, let’s sit over here, in the café outside,",ja
rqehwa,řqehwa,"koffie, café / coffee, cafe",1,p157-04,"‘Come, let’s sit over here, in the café outside,",ja
lɛasir,lɛaṣir,sap / juice,1,p157-05,I will buy you some juice.’,ja
fursa,fuṛṣa,"Kans, kans, gelegenheid / Opportunity, opportunity, opportunity",1,p157-06,"I thought: this is even better, this is a chance to talk to him well.",ja
rhaad,řḥaaḏ,"praat, gebabbel / talk, chatter",1,p157-10,"When I had said what I wanted to say, he said: ‘O my brother.’",ja
hda,hḏa,"begeleiden (religieus), grazen / to guide (religious), to graze",1,p157-11,"O God, guide him, say ‘Amen’, o God make him righteous,",ja
rḥajet,řḥajeṯ,ding / thing,1,p157-12,"o God change for him all that music into something else that is good,",ja
taawa,ṯaawa,de nakomelingen / the descendants,1,p158-06,he said: ‘There are no greater evildoers (lit. bastards) than singers.’,ja
reḥram,řeḥram,iets verboden door religie / something forbidden by religion,1,p158-06,he said: ‘There are no greater evildoers (lit. bastards) than singers.’,ja
taɛecmaat,ṯaɛecmaaṯ,kleine baard / small beard,1,p158-11,"There are people here who have a white beard,",ja
tittawin,ṯiṭṭawin,Ogen / Eyes,1,p159-01,"What they do, I have seen it with my own eyes,",ja
lḥadit,lḥadiṯ,Profetische traditie (Hadith) / Prophetic Tradition (Hadith),1,p159-05,Tariq is with the men telling them about the hadith.,ja
lfasad,lfasaḏ,corruptie / corruption,1,p160-12,"married women, immorality, adultery they commit, these people.",ja
ccarr,ccaṛṛ,"boosheid, kwaad / anger, evil",1,p161-01,May He remove their evil from us.,ja
biljik,Biljik,België / Belgium,1,p162-03,"I said: ‘I have heard the story in Belgium,",ja
tteḥqiq,ṭṭeḥqiq,controle / control,1,p162-06,I have just heard from people. I am looking for confirmation.,ja
rxaa,řxaa,iets goeds / something good,1,p163-08,"I swear I’m not arguing with you, I only want good things for you, listen carefully.",ja
tifray,ṯifray,Bladeren / To leaf through,1,p165-01,I passed under the fig tree and counted its leaves,ja
rejbub,řejbub,zakken (mv. van ǧǧib) / pockets (pl. of ǧǧib),1,p165-06,"Bring me a present, fill your pockets.",ja
ayarrabu,ayaṛṛabu,boot / boat,1,p165-07,"O sea, o sea with a boat on it,",ja
ides,iḍes,slaap / sleep,1,p165-11,I can’t get no sleep. I’m addicted to cocaine,ja
temzi,ṯemẓi,kindertijd / childhood,1,p166-06,"My heart loves you, it loves you since childhood",ja
sseɛd,sseɛḏ,geluk / happiness,1,p166-08,"O our groom, my beloved brother, how lucky you are,",ja
rehna,řehna,"rust, kalmte / peace, tranquility",1,p167-04,We pray that you find peace.,ja
rqanun,řqanun,wet / law,1,p167-06,God has given you beauty in abundance.,ja
ɛan,aan,meel / flour,1,p167-08,"Allow him to go home, one month he is mine, the year round he is yours.",ja
lhubb,lḥubb,liefde / love,1,p167-10,The doctor told me: It is that you are in love.,ja
reɛdu,řeɛḏu,vijand / enemy,1,p168-02,I have no enemy except for the Melilla boat,ja
ccɣer,ccɣeṛ,Bezigheid / Occupation,1,p169-09,"Okay, I’m leaving now, I have to do something.",ja
tratin,ṯřatin,dertig / thirty,1,p170-14,"I’m thirty-three years old, what about you?",ja
idennad,iḏennaḏ,gisteren / yesterday,1,p171-08,"Yes, but yesterday it rained.",ja
taɣenjact,ṯaɣenjacṯ,lepel / spoon,1,p172-11,Give me a spoon (fork / knife / bread).,ja
furcita,fuřcita,vork / fork,1,p172-11,Give me a spoon (fork / knife / bread).,ja
rmus,řmus,mes / knife,1,p172-11,Give me a spoon (fork / knife / bread).,ja
abrid,aḇriḏ,"weg, pad / road, path",1,p174-06,The whole road is closed.,ja
sstupp,ṣṣṭupp,verkeerslicht / traffic light,1,p174-10,He crossed the red light and then a car hit them.,ja
taak,ṯaak,alleen laten (+ IO) / leave alone (+ IO),1,p196-01,let him go!,ja
tteffaḥ,ṯteffaḥ,Appel / Apple,1,p205-02,I like apples,ja
qber,qbeř,accepteren / accept,3,p75-06; p132-04; p132-05,before he will come,ja
adbib,aḏḇiḇ,de arts / the doctor,2,p109-05; p126-05,he is a doctor,ja
tasrit,ṯasřiṯ,de schoondochter (van een man) / the daughter-in-law (of a man),2,p167-03; p167-05,"Our bride, congratulations o sister,",ja
ades,aḏes,dichtbij / near,1,p54-01,to be near,ja
rqa,ṛqa,"tegen iets aanlopen, spontaan ontmoeten / bumping into something, meeting spontaneously",1,p55-04,to meet,ja
ttram,ttřam,duisternis / darkness,1,p107-02,"the ogress could not see [this explains the situation and is thus immediately relevant to the hearer], it was dark",ja
reḥrua,řeḥrua,specerijen (alleen mv.) / spices (pl. only),1,p123-02,there was there a tin box that had condiments in it,ja
tiggest,ṯiggesṯ,tatoeage / tattoo,1,p124-07,"each one to whom he made a tattoo, he spoiled her",ja
rbuamet,řḇuameṯ,Pan / Pan,1,p142-13,"An old woman, I don’t know, he kicked over her kettle;",ja
