Tarifit (Izran),Normalized,Freq,Categorie,Voorbeeld (Tarifit),Vertaling-hint (NL),Vers#,→ TOEVOEGEN? (ja / nee / variant),Nederlands,Niveau (A1-C2),Woordsoort
taddart,taddart,9,ONBEKEND,"A taddart tameqqrant war dji qqaren t i řeswaṛ,","Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,9,15,21,42",,,,
aṛebbi,aṛebbi,9,ONBEKEND,"Ddɛiɣ cem ɣar aṛebbi rami dayi tenkaṛed,","Houd op met huilen, niemand gelooft je,","5,6,13,22,30",,,,
maṛṛa,maṛṛa,9,ONBEKEND,mami ad tesřed i maṛṛa min iqqar wuř inu.,"Als je een jurk om mijn lijf was,","13,25,31,32,35",,,,
nnwaṛ,nnwaṛ,9,ONBEKEND,"Mami leɛziz inu a nnwaṛ n ṭumaɛtic,","O Duitsland dat omringd wordt door prikkeldraad,","18,21,32,34,35",,,,
nnan,nnan,8,ONBEKEND,"Nnan as idɛef isdeɛf it arrenḍan,","Ik heb van je gedroomd met je witte jurk,","3,9,18,21,25",,,,
iwdan,iwdan,8,ONBEKEND,iwdan ssawařen di ddat inu tesřiɣ.,"Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,21,37,46,47",,,,
tennid,tennid,7,ONBEKEND,"Cekk tennid řɛib necc ugiɣ a t iniɣ,","Ik heb van je gedroomd met je witte jurk,","3,11,17,28,29",,,,
ṛebbi,ṛebbi,7,ONBEKEND,mařa teɣḍared ayi ṛebbi d aḥsib nnem.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,5,6,12,17",,,,
tejjid,tejjid,7,ONBEKEND,tejjid ayi di řeɛdab i řebda d aneqsi.,"Houd op met huilen, niemand gelooft je,","5,12,14,20",,,,
urar,urar,7,ONBEKEND,řami teggid urar ma tecsi dd ttesriḥ?,"Onze bruidegom, wat een fris zeepje ben je,","24,34,36,37,38",,,,
abrid,abrid,6,ONBEKEND,"Abrid n minaḍur arenyen as di tiru,","Reik me jouw hand, ik hoop op een verbintenis","1,6,30,45,49",,,,
lḥub,lḥub,6,ONBEKEND,"A lḥub nni negga yeffɣ ayi d anuri,","Hij wandelde langs de autoweg,","2,8,15,49",,,,
yewc,yewc,6,ONBEKEND,ṛebbi yewc am zzin taddut nnes tewzen.,"Houd op met huilen, niemand gelooft je,","5,7,8,20,37",,,,
yedji,yedji,6,ONBEKEND,necc war djiɣ d mmi-s n Klintun a yedji-s n ḍḍanun.,"Ik ga zitten waar hij altijd zit,","9,23,28,33,44",,,,
ɣari,ɣari,6,ONBEKEND,d tenni d lɛalamat i llif war ɣari ci.,"O mijn haren die worden meegenomen in de broekzakken,","10,11,20,26,31",,,,
řebɛad,řebɛad,6,ONBEKEND,řebɛad n yiwdan ad asen qqḍeɣ lisanes.,"Nou mijn lieve schat, je doet wat je wilt,","20,37,42,49",,,,
fřan,fřan,6,ONBEKEND,"Fřan n wayefřan a y aman unessis,","O onze bruid, met je wenkbrauwen als kammen,","27,30",,,,
acekkam,acekkam,6,ONBEKEND,"Cekkem ay acekkam cekkem uřa dayi,","Het geroddel van de mensen doet boten kapseizen,","46,47,49",,,,
řɛahed,řɛahed,5,ONBEKEND,"Siɣ ayi dd fus nnem s řɛahed ad tmenniɣ,","Reik me jouw hand, ik hoop op een verbintenis","1,5,10,13",,,,
ggeɣ,ggeɣ,5,ONBEKEND,a cem csiɣ a cem ggeɣ deg wanu.,"Reik me jouw hand, ik hoop op een verbintenis","1,8,18,49",,,,
arriḍa,arriḍa,5,ONBEKEND,"nec nwiɣ arriḍa, nettat tenwa řemřac.","Reik me jouw hand, ik hoop op een verbintenis","1,11,16,19,22",,,,
ṭṭumubin,ṭṭumubin,5,ONBEKEND,"Yewta paṣiyu x ubrid n ṭṭumubin,","Hij wandelde langs de autoweg,","2,6,27,45,48",,,,
yetran,yetran,5,ONBEKEND,d cem iřa yedjan d taziri jar yetran.,"Hij wandelde langs de autoweg,","2,9,16,17,33",,,,
zegg,zegg,5,ONBEKEND,"Zegg wami tessɣeřyed izřan nnem ixřa ḍḍcar inu,","Ik heb van je gedroomd met je witte jurk,","3,30,34,40,47",,,,
ḍḍcar,ḍḍcar,5,ONBEKEND,"Zegg wami tessɣeřyed izřan nnem ixřa ḍḍcar inu,","Ik heb van je gedroomd met je witte jurk,","3,10,16,20,44",,,,
cekk,cekk,5,ONBEKEND,"Cekk tennid řɛib necc ugiɣ a t iniɣ,","Ik heb van je gedroomd met je witte jurk,","3,18,31,46",,,,
řɛib,řɛib,5,ONBEKEND,"Cekk tennid řɛib necc ugiɣ a t iniɣ,","Ik heb van je gedroomd met je witte jurk,","3,11,17,47,48",,,,
aṛṛay,aṛṛay,5,ONBEKEND,"Aṛṛay aṛṛay nnem xs ayi niɣ carh ayi,","Ik heb van je gedroomd met je witte jurk,","3,20,36,39",,,,
muṛu,muṛu,5,ONBEKEND,inna ayi gg it degg fus nnem d taɣennant i muṛu.,"Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,8,30,45,48",,,,
iman,iman,5,ONBEKEND,"Mařa truḥed aḷiman ṛebbi war dac isemmeḥ,","O mijn lief die onder de lantaarnpaal staat,","12,18,21",,,,
ḥuma,ḥuma,5,ONBEKEND,thellaleɣ i mami ḥuma akidi yennam.,"Kom maar langs liefje en schroom niet,","16,30,41,44,45",,,,
lwalidin,lwalidin,5,ONBEKEND,aṛdat n lwalidin ak uɣezdis nnes.,"O onze bruid, met je wenkbrauwen als kammen,","27,32,35,41",,,,
nirar,nirar,5,ONBEKEND,a necdeḥ a nirar d taɣennant i yewdan.,"O onze bruidegom, de zomer is nabij,","34,40,41",,,,
illa,illa,5,ONBEKEND,weḷḷah illa tiwi wen yarḍa wuř nnes.,"O onze bruidegom, loop over de binnenplaats,","35,36,42",,,,
icekkamen,icekkamen,5,ONBEKEND,sebɛa n icekkamen mkuř ijjen d awař nnes.,"Het einde van de autoweg is bereikt,","45,46,47,49",,,,
ubrid,ubrid,4,ONBEKEND,"Yewta paṣiyu x ubrid n ṭṭumubin,","Hij wandelde langs de autoweg,","2,12,47",,,,
ggiɣ,ggiɣ,4,ONBEKEND,ɛlik ggiɣ tafunast iři cciɣ aɣi.,"Hij wandelde langs de autoweg,","2,4,11,20",,,,
cciɣ,cciɣ,4,ONBEKEND,ɛlik ggiɣ tafunast iři cciɣ aɣi.,"Hij wandelde langs de autoweg,","2,16,18,21",,,,
řebḥar,řebḥar,4,ONBEKEND,ttṛaḥed a tewḍid x řejruf n řebḥar.,"Ik heb van je gedroomd met je witte jurk,","3,10,21",,,,
ssbaṛ,ssbaṛ,4,ONBEKEND,"Ssbaṛ ssbaṛ a tin řeqned uca ad iraḥ,","Ik heb van je gedroomd met je witte jurk,",3,,,,
iniɣ,iniɣ,4,ONBEKEND,"Cekk tennid řɛib necc ugiɣ a t iniɣ,","Ik heb van je gedroomd met je witte jurk,","3,19,31",,,,
kidec,kidec,4,ONBEKEND,purki cekk d ahebbuj war kidec temɛariɣ.,"Ik heb van je gedroomd met je witte jurk,","3,30,35,41",,,,
icem,icem,4,ONBEKEND,"Yexs icem wuř inu war ggiɣ bu řeḥsab,","Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,5,11",,,,
mammec,mammec,4,ONBEKEND,A ya řalla yemma mammec dayi temsar?,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,25,28,29",,,,
teggid,teggid,4,ONBEKEND,mayemmi dayi teggid aweddi yamenni?,"Houd op met huilen, niemand gelooft je,","5,24,31,42",,,,
inna,inna,4,ONBEKEND,inna ayi gg it degg fus nnem d taɣennant i muṛu.,"Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,8,14,44",,,,
hwiɣ,hwiɣ,4,ONBEKEND,"Ad hwiɣ Nnaḍur ad sarɣeɣ tifawin,","Hij gaf me een ring zo smal als een doorn,","8,45",,,,
akidem,akidem,4,ONBEKEND,"Temsar ayi akidem am ufareṭṭu meskin,","Ik ga zitten waar hij altijd zit,","9,13,36,37",,,,
nneɛneɛ,nneɛneɛ,4,ONBEKEND,"Mucewwaf azirar ɣar daxeř d nneɛneɛ,","Ik ga zitten waar hij altijd zit,","9,39,42,43",,,,
temziyda,temziyda,4,ONBEKEND,a řefqih n temziyda a zzayi tawyed ddnub.,"O mijn haren die worden meegenomen in de broekzakken,","10,17,29",,,,
sadu,sadu,4,ONBEKEND,"Arwaḥ a nemɛahed sadu weẓru d ucař,","O mijn haren die worden meegenomen in de broekzakken,","10,12,14,24",,,,
tacemřatc,tacemřatc,4,ONBEKEND,"A taddart tacemřatc swiɣ atay nnes,","Het nylon overhemd, de ene draad na de andere,","15,18,32,39",,,,
mitayen,mitayen,4,ONBEKEND,"A mitayen u xemsin tefrina di teysart,","Kom langs liefje, kom opzettelijk langs,","17,26,32,33",,,,
yusin,yusin,4,ONBEKEND,"Taharkust tacemřatc i dd yusin zi wejda,","O Duitsland dat omringd wordt door prikkeldraad,","18,38,43,44",,,,
yiwdan,yiwdan,4,ONBEKEND,řebɛad n yiwdan ad asen qqḍeɣ lisanes.,"Nou mijn lieve schat, je doet wat je wilt,","20,43,45",,,,
iqaṛṛeb,iqaṛṛeb,4,ONBEKEND,"Ini yas a dd iqaṛṛeb niɣ ad yewc i rexṣart,","Nou mijn lieve schat, je doet wat je wilt,","20,34,40",,,,
jjdid,jjdid,4,ONBEKEND,ssbaḥ řxar a nnwar n jjdid.,"Onze bruidegom, wat een fris zeepje ben je,","24,25,32,39",,,,
bandira,bandira,4,ONBEKEND,tecsi dd bandira a tt tayeř ɣar ujedjid.,"O onze bruid, waarom huilt je moeder?","25,32,39,44",,,,
ayetma,ayetma,4,ONBEKEND,aqqa ɣarem ayetma-m daysen ayrad d uɣiřas.,"O onze bruid, waarom huilt je moeder?","25,27,30",,,,
sseɛd,sseɛd,4,ONBEKEND,a sseɛd a yaṛebbi umi yewca yessi-s.,"O onze bruid, met je wenkbrauwen als kammen,","27,42",,,,
yebdan,yebdan,4,ONBEKEND,"Bismilla a nebda am wi yebdan lba,","In naam van God beginnen we, zoals met de letter B,",29,,,,
farḥen,farḥen,4,ONBEKEND,farḥen ac lwalidin maṛṛa wi da ifarḥ.,"Onze bruidegom heeft het echt gezegd,","32,35",,,,
igeɛɛed,igeɛɛed,4,ONBEKEND,"Ssiřyem ccefcaf ad igeɛɛed ɣar yetran,","Een Mercedes 250, versierd met bloemetjes,","33,34,38,41",,,,
sebɛa,sebɛa,4,ONBEKEND,cchaṛ n sebɛa yiweḍ dd aseggwas a war iɛeddu.,"O onze bruidegom, de zomer is nabij,","34,40,45",,,,
wurar,wurar,4,ONBEKEND,"Neccin degg wurar nnec a nekkes imezřan,","O onze bruidegom, de zomer is nabij,","34,40,41",,,,
xafem,xafem,3,ONBEKEND,"Meɛlik war ggwideɣ yemma-m ad xafem tru,","Reik me jouw hand, ik hoop op een verbintenis","1,9,21",,,,
wanu,wanu,3,ONBEKEND,a cem csiɣ a cem ggeɣ deg wanu.,"Reik me jouw hand, ik hoop op een verbintenis","1,9,11",,,,
řemřac,řemřac,3,ONBEKEND,"nec nwiɣ arriḍa, nettat tenwa řemřac.","Reik me jouw hand, ik hoop op een verbintenis","1,13,22",,,,
yuɣin,yuɣin,3,ONBEKEND,Inn ay min cem yuɣin manis ikka zzin nnem?,"Hij wandelde langs de autoweg,","2,49",,,,
yedjan,yedjan,3,ONBEKEND,"D cem iřa yedjan d tattefaḥt n iɣeẓran,","Hij wandelde langs de autoweg,",2,,,,
izřan,izřan,3,ONBEKEND,"Zegg wami tessɣeřyed izřan nnem ixřa ḍḍcar inu,","Ik heb van je gedroomd met je witte jurk,","3,10,31",,,,
ufus,ufus,3,ONBEKEND,kuřci degg ufus nnem ttu y ayi niɣ fekkar ayi.,"Ik heb van je gedroomd met je witte jurk,","3,5,6",,,,
yexs,yexs,3,ONBEKEND,"Yexs icem wuř inu war ggiɣ bu řeḥsab,","Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,16,42",,,,
řebda,řebda,3,ONBEKEND,tejjid ayi di řeɛdab i řebda d aneqsi.,"Houd op met huilen, niemand gelooft je,","5,19,30",,,,
řami,řami,3,ONBEKEND,ad iɛeddeb wuř nnem řami dayi tenkaṛed.,"Houd op met huilen, niemand gelooft je,","5,24,45",,,,
teḥramin,teḥramin,3,ONBEKEND,"Sidi ɛři n Naḍur a lmarsa n teḥramin,","Ik vroeg haar verkering, zij zei: ik kan niet.","6,13,16",,,,
tazdat,tazdat,3,ONBEKEND,"Yewc ayi txadent d tazdat am ufiřu,","Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,8,29",,,,
uzedjif,uzedjif,3,ONBEKEND,a tt ggeɣ x uzedjif ad yebbuhři muṛu.,"Hij gaf me een ring zo smal als een doorn,","8,19",,,,
nnaḍur,nnaḍur,3,ONBEKEND,"Ad hwiɣ Nnaḍur ad sarɣeɣ tifawin,","Hij gaf me een ring zo smal als een doorn,","8,43,45",,,,
igga,igga,3,ONBEKEND,aqa c lḥub nnec igga ayi tiɣufawin.,"Hij gaf me een ring zo smal als een doorn,","8,43",,,,
waman,waman,3,ONBEKEND,A yemma ma d wa d anu n waman di wḍiɣ?,"Hij gaf me een ring zo smal als een doorn,","8,28,30",,,,
wḍiɣ,wḍiɣ,3,ONBEKEND,A yemma ma d wa d anu n waman di wḍiɣ?,"Hij gaf me een ring zo smal als een doorn,","8,21",,,,
yetɣima,yetɣima,3,ONBEKEND,"Ad raḥeɣ ad qqimeɣ mani yetɣima netta,","Ik ga zitten waar hij altijd zit,","9,19",,,,
melyun,melyun,3,ONBEKEND,"Ruḥeɣ a tt xeḍbeɣ nnan ayi ɛecra melyun,","Ik ga zitten waar hij altijd zit,","9,38,43",,,,
ḍḍanun,ḍḍanun,3,ONBEKEND,necc war djiɣ d mmi-s n Klintun a yedji-s n ḍḍanun.,"Ik ga zitten waar hij altijd zit,","9,36,43",,,,
tenni,tenni,3,ONBEKEND,d tenni d lɛalamat i llif war ɣari ci.,"O mijn haren die worden meegenomen in de broekzakken,","10,16,42",,,,
uɛecci,uɛecci,3,ONBEKEND,ayam n uɛecci a řesbab n arriḍa.,"O rijpe granaatappel in een omheinde boomgaard,","11,15,42",,,,
teẓrid,teẓrid,3,ONBEKEND,a necc teẓrid ayi teẓrid mayen dayi.,"O rijpe granaatappel in een omheinde boomgaard,",11,,,,
truḥed,truḥed,3,ONBEKEND,"Mařa truḥed aḷiman ṛebbi war dac isemmeḥ,","O mijn lief die onder de lantaarnpaal staat,","12,18",,,,
nnhaṛ,nnhaṛ,3,ONBEKEND,"Ijj n nnhaṛ d tṛaxxi ijj n nnhaṛ d ajedjab,","O mijn lief die onder de lantaarnpaal staat,","12,33",,,,
mamuc,mamuc,3,ONBEKEND,a Mamuc taḥellut d wenni akidem d iteffɣen.,"Als je een jurk om mijn lijf was,","13,14",,,,
taḥellut,taḥellut,3,ONBEKEND,a Mamuc taḥellut d wenni akidem d iteffɣen.,"Als je een jurk om mijn lijf was,","13,14",,,,
akidec,akidec,3,ONBEKEND,mami akidec asari akidec anecceṭ.,"Het nylon overhemd, de ene draad na de andere,","15,42",,,,
teqqimed,teqqimed,3,ONBEKEND,"Cem teswid atay teqqimed di řehna,","Het nylon overhemd, de ene draad na de andere,","15,22,45",,,,
yenn,yenn,3,ONBEKEND,yenn ayi dd a tateffaḥt itnennan s rxaḍar.,"Kom maar langs liefje en schroom niet,","16,20,21",,,,
tawi,tawi,3,ONBEKEND,Ma ad ac taři ɣa yetran a dd tawi taziri?,"Kom langs liefje, kom opzettelijk langs,","17,19",,,,
munen,munen,3,ONBEKEND,"Kkiɣ dd ɣar temziyda ufiɣ ṭṭeřba munen,","Kom langs liefje, kom opzettelijk langs,","17,42",,,,
tiwyed,tiwyed,3,ONBEKEND,tiwyed řbaṛṛani tejjid ḍḍcar nnec.,"Nou mijn lieve schat, je doet wat je wilt,","20,36,42",,,,
melyul,melyul,3,ONBEKEND,"Ɛlik ɣari melyul u neṣṣ,","Nou mijn lieve schat, je doet wat je wilt,",20,,,,
benneɛman,benneɛman,3,ONBEKEND,ḷḷah mana řeɣyar di nnwaṛ n benneɛman?,"Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,28,35",,,,
ucekkam,ucekkam,3,ONBEKEND,taddart n ucekkam tus ayi dd x uɣezdis.,"Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,47,48",,,,
uɣezdis,uɣezdis,3,ONBEKEND,taddart n ucekkam tus ayi dd x uɣezdis.,"Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,27,40",,,,
řxar,řxar,3,ONBEKEND,ssbaḥ řxar a nnwar n jjdid.,"Onze bruidegom, wat een fris zeepje ben je,","24,33,48",,,,
mezři,mezři,3,ONBEKEND,weḷḷah iřa narra mezři di ddunect a.,Bij God wat hebben we gegeten en gedronken.,"26,30,36",,,,
yewca,yewca,3,ONBEKEND,a sseɛd a yaṛebbi umi yewca yessi-s.,"O onze bruid, met je wenkbrauwen als kammen,","27,36,43",,,,
yessi,yessi,3,ONBEKEND,a sseɛd a yaṛebbi umi yewca yessi-s.,"O onze bruid, met je wenkbrauwen als kammen,","27,33",,,,
geɛɛed,geɛɛed,3,ONBEKEND,"Řalla tasřit nneɣ geɛɛed iři nnem ajenna,","O onze bruid, wees zo trots als een pauw,","28,37,42",,,,
amenn,amenn,3,ONBEKEND,yeffud ic wuř inu amenn yeffud aɣi.,"O onze bruid, wees zo trots als een pauw,","28,32,48",,,,
yuři,yuři,3,ONBEKEND,icuq dd di benneɛman yuři dd ad inewwaṛ.,"O onze bruid, wees zo trots als een pauw,","28,39,43",,,,
inewwaṛ,inewwaṛ,3,ONBEKEND,icuq dd di benneɛman yuři dd ad inewwaṛ.,"O onze bruid, wees zo trots als een pauw,","28,39,43",,,,
leklam,leklam,3,ONBEKEND,"Bismilla a nebda leklam a t nṣeyyar,","O onze bruid, wees zo trots als een pauw,","28,30",,,,
arrif,arrif,3,ONBEKEND,am wi yebdan ddsas i temziyda n arrif.,"In naam van God beginnen we, zoals met de letter B,","29,43,44",,,,
nekkes,nekkes,3,ONBEKEND,bismilla a nekkes zegg wuř nneɣ axeyyeq.,"In naam van God beginnen we, Hij zal het vergemakkelijken,","30,34,40",,,,
tiḥramin,tiḥramin,3,ONBEKEND,"A tiḥramin nneɣ axmi ccint ameřzi,","Allal zoon van Boumdian, hij verdient het te werken,","31,33,39",,,,
wanita,wanita,3,ONBEKEND,mecḥař d uraren ẓriɣ war dji am wanita.,"Allal zoon van Boumdian, hij verdient het te werken,","31,37,41",,,,
řemṛaḥ,řemṛaḥ,3,ONBEKEND,"A tiḥramin nneɣ ɣenjent idd di řemṛaḥ,","Een Mercedes 250, versierd met bloemetjes,","33,35,41",,,,
řweṣt,řweṣt,3,ONBEKEND,cenna mařa yirar di řweṣt n wurar.,"O onze bruidegom, de zomer is nabij,","34,41,47",,,,
lleccin,lleccin,3,ONBEKEND,"Řalla tasřit nneɣ tiqebḍin n lleccin,","O onze bruidegom, loop over de binnenplaats,","35,39,43",,,,
icten,icten,3,ONBEKEND,"icten n wafar n řward, icten n bibsi kula.","O onze bruidegom die twee winkels heeft,","39,45",,,,
yiwi,yiwi,3,ONBEKEND,izzudj ařami yiwi yedji-s n bni buɛeyyac.,"De bruidegom spreekt zonder op te scheppen,","44,46",,,,
yawařen,yawařen,3,ONBEKEND,a yawařen n yiwdan qeřben aɣaṛṛabu.,"Het einde van de autoweg is bereikt,","45,46",,,,
qeřben,qeřben,3,ONBEKEND,a yawařen n yiwdan qeřben aɣaṛṛabu.,"Het einde van de autoweg is bereikt,","45,46",,,,
cekkem,cekkem,3,ONBEKEND,"Cekkem ay acekkam cekkem uřa dayi,","Het geroddel van de mensen doet boten kapseizen,","46,49",,,,
yacekkam,yacekkam,3,ONBEKEND,A yacekkam inu i min dac itarin?,"Het huis van mijn lief is omringd door slangen,","48,49",,,,
lhawa,lhawa,2,ONBEKEND,"A ya řalla yemma dewřeɣ am lhawa,","Reik me jouw hand, ik hoop op een verbintenis","1,17",,,,
řeɛdu,řeɛdu,2,ONBEKEND,i necc yeccin bunarjuf min iruḥen i řeɛdu?,"Reik me jouw hand, ik hoop op een verbintenis","1,42",,,,
umuni,umuni,2,ONBEKEND,ɛamayen n umuni war tt iḥidi ɛemmars.,"Reik me jouw hand, ik hoop op een verbintenis","1,6",,,,
arwaḥ,arwaḥ,2,ONBEKEND,"Nniɣ as arwaḥ mun akidi, tenna ayi cek d aqeddac,","Reik me jouw hand, ik hoop op een verbintenis","1,10",,,,
akidi,akidi,2,ONBEKEND,"Nniɣ as arwaḥ mun akidi, tenna ayi cek d aqeddac,","Reik me jouw hand, ik hoop op een verbintenis","1,16",,,,
itɣiř,itɣiř,2,ONBEKEND,itɣiř as nnubiya ad as tt idd yawi řeɛwin.,"Hij wandelde langs de autoweg,","2,4",,,,
yawi,yawi,2,ONBEKEND,itɣiř as nnubiya ad as tt idd yawi řeɛwin.,"Hij wandelde langs de autoweg,","2,16",,,,
negga,negga,2,ONBEKEND,"A lḥub nni negga yeffɣ ayi d anuri,","Hij wandelde langs de autoweg,","2,8",,,,
taziri,taziri,2,ONBEKEND,d cem iřa yedjan d taziri jar yetran.,"Hij wandelde langs de autoweg,","2,17",,,,
nnwawaṛ,nnwawaṛ,2,ONBEKEND,"D cem iřa yedjan d zzin n nnwawaṛ,","Hij wandelde langs de autoweg,","2,33",,,,
wafar,wafar,2,ONBEKEND,mecḥař uriɣ isem nnem x wafar n řecjuṛ.,"Hij wandelde langs de autoweg,","2,39",,,,
ddfin,ddfin,2,ONBEKEND,"Urjiɣ cem di řemnam s ddfin d acemřař,","Ik heb van je gedroomd met je witte jurk,","3,13",,,,
ifarḥ,ifarḥ,2,ONBEKEND,ssbaṛ ssbaṛ aya tin uř a uca ad ifarḥ.,"Ik heb van je gedroomd met je witte jurk,","3,32",,,,
wawař,wawař,2,ONBEKEND,weḷḷah war t isedɛef ɣar wawař n yewdan.,"Ik heb van je gedroomd met je witte jurk,","3,10",,,,
temsar,temsar,2,ONBEKEND,A ya řalla yemma mammec dayi temsar?,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,9",,,,
baṛṛa,baṛṛa,2,ONBEKEND,Ssenseɣ di baṛṛa iccat xafi wenẓar.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,29",,,,
